userId,userName,movieId,movieName,rating
1,An,1,Toy Story,5
1,An,2,Star Wars,4
1,An,3,Titanic,1
1,An,6,Lion King,2
1,An,8,Finding Nemo,3
2,Bình,1,Toy Story,5
2,Bình,2,Star Wars,4
2,Bình,3,Titanic,1
2,Bình,4,The Matrix,5
2,Bình,5,Apollo 13,4
2,Bình,6,Lion King,2
2,Bình,7,Interstellar,5
2,Bình,8,Finding Nemo,3
2,Bình,9,Inception,4
2,Bình,10,Coco,2
2,Bình,11,Avatar,4
3,Dũng,1,Toy Story,4
3,Dũng,2,Star Wars,5
3,Dũng,3,Titanic,1
3,Dũng,4,The Matrix,4
3,Dũng,5,Apollo 13,5
3,Dũng,6,Lion King,2
3,Dũng,7,Interstellar,5
3,Dũng,8,Finding Nemo,3
3,Dũng,9,Inception,4
3,Dũng,10,Coco,3
3,Dũng,11,Avatar,4
4,Chi,1,Toy Story,5
4,Chi,2,Star Wars,3
4,Chi,3,Titanic,1
4,Chi,4,The Matrix,4
4,Chi,5,Apollo 13,2
4,Chi,6,Lion King,5
4,Chi,7,Interstellar,3
4,Chi,8,Finding Nemo,1
4,Chi,9,Inception,4
4,Chi,10,Coco,2
4,Chi,11,Avatar,5
5,Hà,1,Toy Story,2
5,Hà,2,Star Wars,5
5,Hà,3,Titanic,3
5,Hà,4,The Matrix,1
5,Hà,5,Apollo 13,4
5,Hà,6,Lion King,2
5,Hà,7,Interstellar,5
5,Hà,8,Finding Nemo,3
5,Hà,9,Inception,1
5,Hà,10,Coco,4
5,Hà,11,Avatar,2
6,Hoài,1,Toy Story,4
6,Hoài,2,Star Wars,2
6,Hoài,3,Titanic,5
6,Hoài,4,The Matrix,3
6,Hoài,5,Apollo 13,1
6,Hoài,6,Lion King,4
6,Hoài,7,Interstellar,2
6,Hoài,8,Finding Nemo,5
6,Hoài,9,Inception,3
6,Hoài,10,Coco,1
6,Hoài,11,Avatar,4
7,Tỷ,1,Toy Story,1
7,Tỷ,2,Star Wars,4
7,Tỷ,3,Titanic,2
7,Tỷ,4,The Matrix,5
7,Tỷ,5,Apollo 13,3
7,Tỷ,6,Lion King,1
7,Tỷ,7,Interstellar,4
7,Tỷ,8,Finding Nemo,2
7,Tỷ,10,Coco,5
7,Tỷ,11,Avatar,3
8,Lan,1,Toy Story,3
8,Lan,2,Star Wars,1
8,Lan,3,Titanic,4
8,Lan,4,The Matrix,2
8,Lan,5,Apollo 13,5
8,Lan,6,Lion King,3
8,Lan,7,Interstellar,1
8,Lan,8,Finding Nemo,4
8,Lan,11,Avatar,2
8,Lan,12,Up,5
9,Minh,1,Toy Story,5
9,Minh,2,Star Wars,3
9,Minh,3,Titanic,1
9,Minh,4,The Matrix,4
9,Minh,5,Apollo 13,2
9,Minh,6,Lion King,5
9,Minh,7,Interstellar,3
9,Minh,8,Finding Nemo,1
9,Minh,12,Up,4
9,Minh,13,The Avengers,2
10,Nam,1,Toy Story,2
10,Nam,2,Star Wars,5
10,Nam,3,Titanic,3
10,Nam,4,The Matrix,1
10,Nam,5,Apollo 13,4
10,Nam,6,Lion King,2
10,Nam,7,Interstellar,5
10,Nam,8,Finding Nemo,3
10,Nam,13,The Avengers,1
10,Nam,14,Frozen,4
11,Linh,1,Toy Story,4
11,Linh,2,Star Wars,2
11,Linh,3,Titanic,5
11,Linh,4,The Matrix,3
11,Linh,5,Apollo 13,1
11,Linh,6,Lion King,4
11,Linh,7,Interstellar,2
11,Linh,8,Finding Nemo,5
11,Linh,14,Frozen,3
11,Linh,15,The Dark Knight,1
12,Phúc,1,Toy Story,1
12,Phúc,2,Star Wars,4
12,Phúc,3,Titanic,2
12,Phúc,4,The Matrix,5
12,Phúc,5,Apollo 13,3
12,Phúc,6,Lion King,1
12,Phúc,7,Interstellar,4
12,Phúc,8,Finding Nemo,2
12,Phúc,15,The Dark Knight,5
12,Phúc,9,Inception,3
13,Trang,1,Toy Story,3
13,Trang,2,Star Wars,1
13,Trang,3,Titanic,4
13,Trang,4,The Matrix,2
13,Trang,5,Apollo 13,5
13,Trang,6,Lion King,3
13,Trang,7,Interstellar,1
13,Trang,8,Finding Nemo,4
13,Trang,9,Inception,2
13,Trang,10,Coco,5
14,Khoa,1,Toy Story,5
14,Khoa,2,Star Wars,3
14,Khoa,3,Titanic,1
14,Khoa,4,The Matrix,4
14,Khoa,5,Apollo 13,2
14,Khoa,6,Lion King,5
14,Khoa,7,Interstellar,3
14,Khoa,8,Finding Nemo,1
14,Khoa,10,Coco,4
14,Khoa,11,Avatar,2
15,Vy,1,Toy Story,2
15,Vy,2,Star Wars,5
15,Vy,3,Titanic,3
15,Vy,4,The Matrix,1
15,Vy,5,Apollo 13,4
15,Vy,6,Lion King,2
15,Vy,7,Interstellar,5
15,Vy,8,Finding Nemo,3
15,Vy,11,Avatar,1
15,Vy,12,Up,4
